Agency,Account,State,Recipient,Project,Amount,Requested by,Requested by 2
Department of Justice,COPS Tech, KS,Mitchell County Sheriff,Equipment Upgrades,"$94,000.00 ",Moran,
Department of Justice,COPS Tech, KS,Neodesha Police Department,Technology Upgrades,"$75,000.00 ",Moran,
Department of Justice,COPS Tech, KS,Norton City Police Department,Technology Upgrades,"$63,000.00 ",Moran,
Department of Justice,COPS Tech, KS,Osawatomie Police Department,Technology Upgrades,"$157,000.00 ",Moran,
Department of Justice,COPS Tech, KS,Seneca Police Department,Technology Upgrades,"$536,000.00 ",Moran,
Department of Justice,COPS Tech, KS,Smith County Sheriff,Technology Upgrades,"$27,000.00 ",Moran,
Department of Justice,COPS Tech, KS,Trego County Sheriff,Technology Upgrades,"$52,000.00 ",Moran,
Department of Justice,COPS Tech, KS,"Unified Government of Wyandotte
County.",Camera and Public Alert System Upgrades,"$225,000.00 ",Moran,
Department of Justice,COPS Tech, KS,Victoria Police Department,Technology Upgrades,"$78,000.00 ",Moran,
Department of Justice,COPS Tech, KS,Wathena Police Department,Equipment Upgrades,"$95,000.00 ",Moran,
Department of Justice,COPS Tech, KS,Wichita County Sheriff,Technology Upgrades,"$80,000.00 ",Moran,
Department of Justice,COPS Tech, KS,Yates Center Police Department,Equipment Upgrades,"$146,000.00 ",Moran,
Department of Justice,COPS Tech, OH,Washington County Sheriff’s Office,Sheriff’s Coalition Training Program,"$455,000.00 ",Moreno,
Department of Justice,COPS Tech, OK,Major County Sheriff’s Office,Major County Regional Emergency Communications Tower,"$531,000.00 ",Mullin,
Department of Justice,COPS Tech, OK,Oklahoma State Bureau of Investiga-,"Equipment Replacement.
Internet Crimes Against Children Technology Support","$575,000.00 ",Mullin,
Department of Justice,COPS Tech, OK,"tion.
Pittsburg County Sheriff’s Office",Rapid DNA Program for Investigations,"$500,000.00 ",Mullin,
Department of Justice,COPS Tech, AK,Anchorage Police Department,Enhancements,"$305,000.00 ",Murkowski,
Department of Justice,COPS Tech, RI,West Greenwich Public Safety,West Greenwich Public Safety Dispatch Equipment,"$200,000.00 ",Reed, Whitehouse
Department of Justice,COPS Tech, SD,Pennington County Sheriff’s Office,Jail Tech Upgrades,"$3,920,000.00 ",Rounds,
Department of Justice,COPS Tech, SD,South Dakota Attorney General’s Of-,Child Exploitation Investigation Support Project,"$675,000.00 ",Rounds,
Department of Justice,COPS Tech, VT,State of Vermont Department of Pub-,Public Safety Communications Equipment Upgrade,"$2,000,000.00 ",Sanders,
Department of Justice,COPS Tech, NH,Coos County Administration,Coos County Sheriff Technology Enhancement,"$175,000.00 ",Shaheen,
Department of Justice,COPS Tech, RI,Town of North Kingstown,North Kingstown Broadband and Camera Systems,"$625,000.00 ",Reed, Whitehouse
Department of Justice,COPS Tech, NH,Northern Border Dispatch,Northern Border Dispatch Border Security Communication,"$225,000.00 ",Shaheen,
Department of Justice,COPS Tech, NH,Town of Gilford,Gilford Police Department (CAD/RMS) Replacement and,"$273,000.00 ",Shaheen,
Department of Justice,COPS Tech, NH,Town of Milford,Milford Area Regional Record Management Systems (RMS),"$1,000,000.00 ",Shaheen,
Department of Justice,COPS Tech, MT,Glacier County Sheriff’s Office,Public Safety Communications Equipment Upgrade,"$420,000.00 ",Sheehy,
Department of Justice,COPS Tech, CA,University of California System,Mobile Command Vehicles Acquisition,"$2,050,000.00 ",Schiff,
Department of Justice,COPS Tech, RI,Rhode Island State Police,Rhode Island State Police Equipment and Vehicles,"$2,575,000.00 ",Reed, Whitehouse
Department of Justice,COPS Tech, RI,City of Central Falls,Central Falls Police Department Equipment,"$1,000,000.00 ",Reed, Whitehouse
Department of Justice,COPS Tech, RI,City of Cranston Police Department,Cranston Police Communications,"$1,780,000.00 ",Reed,
Department of Justice,COPS Tech, AK,City of Bethel,Security System Upgrades,"$70,000.00 ",Murkowski,
Department of Justice,COPS Tech, AK,City of Ketchikan,Replace Radio Communication System,"$3,000,000.00 ",Murkowski,
Department of Justice,COPS Tech, GA,City of Carrollton Police Department,Investigative Technology Upgrades,"$76,000.00 ",Ossoff,
Department of Justice,COPS Tech, GA,City of Conyers Police Department,Radio Upgrades,"$685,000.00 ",Ossoff,
Department of Justice,COPS Tech, GA,City of Riverdale,Safer Vehicles and Equipment Upgrades,"$784,000.00 ",Ossoff,
Department of Justice,COPS Tech, GA,City of South Fulton Police Depart-,Safer Roads Initiative Vehicles,"$405,000.00 ",Ossoff,
Department of Justice,COPS Tech, MT,Prairie County Sheriff’s Office,Police Vehicles,"$140,000.00 ",Sheehy,
Department of Justice,COPS Tech, GA,Fulton County Sheriff’s Office,Jail Staff Compliance System,"$526,000.00 ",Ossoff,
Department of Justice,COPS Tech, GA,Treutlen County Sheriff’s Office,Law Enforcement Video Recording Systems,"$249,000.00 ",Ossoff,
Department of Justice,COPS Tech, GA,City of Norcross Police Department,Crime Prevention Coordination Center,"$450,000.00 ",Ossoff, Warnock
Department of Justice,COPS Tech, GA,Morehouse College,Campus Gate and Locks Upgrade,"$556,000.00 ",Ossoff, Warnock
Department of Justice,COPS Tech, GA,Sumter County Sheriff’s Office,New Police Vehicles,"$503,000.00 ",Ossoff, Warnock
Department of Justice,COPS Tech, CA,County of Sutter,Police Radio Upgrades,"$1,500,000.00 ",Padilla,
Department of Justice,COPS Tech, MI,City of Marquette,Marquette Police Department—Portable Radio Upgrades,"$264,000.00 ",Peters,
Department of Justice,COPS Tech, GA,Spalding County Sheriff’s Office,Helicopter Rescue Capability Upgrades,"$175,000.00 ",Ossoff,
Department of Justice,COPS Tech, MT,St. Ignatius Police Department,Police Vehicles,"$185,000.00 ",Sheehy,
Department of Justice,COPS Tech, MT,Treasure County Sheriff-Coroner’s Of-,Police Vehicles,"$92,000.00 ",Sheehy,
Department of Justice,COPS Tech, MS,"University of Mississippi Medical
Center.",UMMC Campus Public Safety Enhancements,"$907,000.00 ",Wicker,
Department of Justice,COPS Tech, MS,Humphreys County,"Area Crime Center.
Law Enforcement Equipment Upgrades","$460,000.00 ",Wicker,
Department of Justice,COPS Tech, MS,City of Columbus,Technology Enhancements for the Northeast Mississippi,"$1,000,000.00 ",Wicker,
Department of Justice,COPS Tech, VT,Town of Hartford Police Department,Public Safety Upgrades,"$774,000.00 ",Welch,
Department of Justice,COPS Tech,GA,University of North Georgia,Campus Public Safety Technology Improvements,"$500,000.00 ",Warnock,
Department of Justice,COPS Tech, MD,"Anne Arundel County, Maryland",Joint 911 Public Safety Center Technology,"$3,500,000.00 ",Van Hollen,
Department of Justice,COPS Tech, NC,Union County Sheriff’s Office,Rapid DNA Instrumentation for Investigations,"$861,000.00 ",Tillis,
Department of Justice,COPS Tech, MD,Baltimore Police Department,Computer Aided Dispatch Replacement,"$3,700,000.00 ",Van Hollen,
Department of Justice,COPS Tech, NC,Town of Holly Springs,Interoperable Communications Equipment,"$1,074,000.00 ",Tillis,
Department of Justice,COPS Tech, NC,McDowell County Sheriff’s Office,Mobile Command Unit,"$250,000.00 ",Tillis,
Department of Justice,COPS Tech, NC,City of Greensboro Police Department,Real Time Intelligence Upgrades,"$820,000.00 ",Tillis,
Department of Justice,COPS Tech, MI,Saginaw Police Department,Saginaw Police Department Patrol Vehicles,"$215,000.00 ",Slotkin,
Department of Justice,COPS Tech, MI,Michigan State Police,"Michigan ICAC Online Child Exploitation Technology
Project.","$675,000.00 ",Slotkin,
Department of Justice,COPS Tech, MT,"fice.
Yellowstone County Sheriff’s Office",Search and Rescue Equipment,"$100,000.00 ",Sheehy,
Department of Justice,COPS Tech, MT,Treasure County Sheriff-Coroner’s Of-,Search and Rescue Equipment,"$127,000.00 ",Sheehy,
Department of Justice,COPS Tech, NC,Town of Mooresville Police Depart-ment.,Police Technology Improvement Project,"$1,478,000.00 ",Tillis,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", HI,"Laboratory.
University of Hawaii",Improving Space Weather Forecasts,"$1,000,000.00 ",Hirono, Schatz
National Aeronautics and Space Administration,"Safety, Security, and Mission Services",MD,National Children’s Museum,Early STEM Learning Initiatives,"$1,200,000.00 ",Alsobrooks,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", MD,Frostburg State University,Planetarium Equipment,"$2,808,000.00 ",Alsobrooks,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", MD,Goucher College,Addressing Air Quality Research,"$151,000.00 ",Alsobrooks,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", CT,"Talcott Mountain Science Center for
Student Involvement, Inc",Astrophysics and Data Science Education Destination,"$1,700,000.00 ",Blumenthal, Murphy
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", IL,Bradley University,Instrumentation and equipment upgrades,"$1,000,000.00 ",Durbin,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", HI,University of Hawaii Space Flight,Hawaii STEM Connections,"$1,324,000.00 ",Hirono,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", OH,Ohio Aerospace Institute,Quantum and,"$500,000.00 ",Husted,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", MS,Mississippi State University,Demonstration,"$2,500,000.00 ",Hyde-Smith, Wicker
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", KS,Wichita State University,Hypersonic Flight Research,"$10,000,000.00 ",Moran,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", CA,Cal Poly Partners,Paso Robles Spaceport Training and Research Center,"$1,000,000.00 ",Padilla, Schiff
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", MD,Chinese American Parent Association,STEM Forward,"$1,046,000.00 ",Van Hollen,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", GA,Paine College,STEM to Space Initiative,"$450,000.00 ",Warnock,
