Agency,Account,State,Recipient,Project, Amount ,Requested by,Requested by 2
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, CA,"University of California, San Francisco",UCSF High-Performance Computer Core Center,"$1,031,000 ",Pelosi,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, CA,"California State University, San Marcos",Engineering and Computer Science Program Capacity Building,"$1,031,000 ",Peters,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, CA,San Diego Community College District,San Diego City College CyberLab,"$1,031,000 ",Peters,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, TX,Texas A&M Central Texas,Texas A&M–Central Texas High-Performance Research Computing Lab,"$995,000 ",Pfluger,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, ME,Northeastern University,Accelerating the Development of Plastic Alternatives and Other Products Derived from Maine’s Natural Resources,"$1,031,000 ",Pingree,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, WI,University of Wisconsin Madison,UW–Madison Entrepreneurship Science Lab’s Statistical Analysis for Rapid Commercialization of University Ideas and Research (STARCUIR) Initiative,"$1,031,000 ",Pocan,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, CA,"California State University, Northridge",Autodesk Technology Engagement Center,"$1,039,000 ",Rivas,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, CA,Los Angeles Valley College,Los Angeles Valley College Cybersecurity Center,"$1,000,000 ",Rivas,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, AL,Jacksonville State University,Jacksonville State University (JSU) Additive Manufacturing Training and Innovation Lab,"$2,000,000 ",Rogers (AL),
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, TN,Tennessee Technological University,Laboratory Equipment and Researcher Salaries in Nuclear Engineering at Tennessee Tech University,"$1,125,000 ",Rose,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, TN,Tennessee Technological University,Quantum Cookeville/Crossville Bridging Appalachia to the Future of Communication Networks,"$2,100,000 ",Rose,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, NC,Wireless Research Center of North Carolina,Research of Emerging and Converging Wireless Technologies Project,"$1,031,000 ",Ross,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, NC,Fayetteville State University,Protecting North Carolina: Detecting PFAS and Pesticides in Cape Fear River Basin,"$345,631 ",Rouzer,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, FL,University of North Florida,University of North Florida Student-Run Security Operations Research Center,"$2,000,000 ",Rutherford,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, FL,University of Miami College of Engineering,"Expanding and Studying the SEAHIVE Comb Protecting Coastal Communities through Improving Sustainable Manufacturing, Placement, and Assessment","$2,000,000 ",Salazar,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, FL,Florida International University,Equipment Acquisition to Advance Functional Precision Medicine Approaches and Imaging Studies for Hard-to-Treat Cancers,"$3,131,000 ",Salazar,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, OR,Oregon Institute of Technology,Oregon Institute of Technology Quantum Devices and Computing Initiative,"$1,031,000 ",Salinas,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, KS,Pittsburg State University,Pittsburg State University Center for Graphene,"$1,500,000 ",Schmidt,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, KS,Pittsburg State University,Center for Commercialization,"$1,500,000 ",Schmidt,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, KS,Pittsburg State University,Kansas Cybersecurity Institute,"$2,100,000 ",Schmidt,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, MI,Grand Valley State University,West Michigan Trustworthy AI Consortium,"$1,031,000 ",Scholten,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, VA,Old Dominion University,Improving Success in Siting Natural and Nature-Based Features for Flood Risk Reduction using Digital Twins as Decision Support,"$1,031,000 ",Scott (VA),
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, TX,Baylor University,Advanced Cold-Spray Technology (ACT) Laboratory Equipment at the Point-OfNeed-Innovation (PONI) Center,"$2,000,000 ",Sessions,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, TX,Baylor University,Arctic Acclimatization & Sleep Optimization (ARKTOS) Research Center Phase II,"$2,000,000 ",Sessions,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, CA,"California State University, Northridge",High Bay Structural Test Lab,"$1,031,000 ",Sherman,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, CA,Regents of the University of California,"University of California San Francisco (UCSF), Benioff Children’s Hospital Oakland Pediatric Blood Disorder Research Center","$1,031,000 ",Simon,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, CA,Samuel Merritt University,"Samuel Merritt University, Oakland City Center’s Campus Research Equipment","$1,031,000 ",Simon,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, ID,Boise State University,Microelectronics Research and Education,"$4,000,000 ",Simpson,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, ID,Idaho State University,Idaho Accelerator Center Upgrades,"$4,000,000 ",Simpson,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services,AZ,"Skysong Innovations, LLC",Arizona State University Center for Heat Preparedness,"$2,062,000 ",Stanton,Ansari
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, AZ,"Skysong Innovations, LLC",Arizona State University CHIPs and Domestic Manufacturing Project,"$2,062,000 ",Stanton,Ansari
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, NY,Trudeau Institute Inc.,"Trudeau Institute, NY, Biotech Research","$4,200,000 ",Stefanik,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, FL,University of South Florida,Security Operations Center,"$1,300,000 ",Steube,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, MI,Oakland University,OU Digital Twin Center for Smart Adaptable Manufacturing,"$1,039,000 ",Stevens,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, AL,Auburn University Applied Research Institute,High Performance Computing Systems for Controlled Unclassified Information,"$4,135,000 ",Strong,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, AL,The University of Alabama in Huntsville,AI Research Facility for Space and Defense,"$4,200,000 ",Strong,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, VA,George Mason University,Advancing Molecular Technologies,"$1,031,000 ",Subramanyam,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, CA,University California Riverside,University of California Riverside Sustainable Immersive Mobility Laboratory,"$1,031,000 ",Takano,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, MI,University of Detroit Mercy,Detroit Mercy Cybersecurity Operations Center,"$1,031,000 ",Thanedar,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, NV,"University of Nevada, Las Vegas",Instrumentation for Pathogen Detection in Water,"$1,031,000 ",Titus,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, HI,University of Hawaii at Hilo,University of Hawaii at Hilo Volcano Monitoring and Geoarcheology Laboratory,"$995,000 ",Tokuda,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, NY,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute’s Quantum Innovations in Computing Knowledge (QUICK),"$1,031,000 ",Tonko,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, NY,"The Research Foundation for the State University of New York, on behalf of the University at Albany",UAlbany CNSE 200mm Wafer Cleanroom Equipment Upgrade,"$1,031,000 ",Tonko,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, OH,"City of Springfield, Ohio",Ohio Advanced Air Mobility (AAM) Infrastructure Planning Project,"$1,500,000 ",Turner,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, OH,University of Dayton,Nanoscience Device Research and Workforce Development Lab,"$1,500,000 ",Turner,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, OH,University of Dayton,System Integration Laboratory,"$2,000,000 ",Turner,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services,NJ,National Aviation Research and Technology Park,Advancing U.S. National Capabilities in Autonomy and Advanced Air Mobility Technologies,"$2,100,000 ",Van Drew,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, FL,Florida Atlantic University,The NeuroInnovate Center,"$1,031,000 ",Wasserman Schultz,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, FL,Nova Southeastern University,Standardization of Novel Drug Delivery System for Brain Cancer Treatment,"$1,031,000 ",Wasserman Schultz,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, FL,UF Health Central Florida,UF Health Central Florida Elevating Care Through Workforce Development: Simulation Lab,"$750,000 ",Webster,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, FL,University of South Florida,"University of South Florida (USF) Cybersecurity Technology, Research, and Workforce Training Program","$1,250,000 ",Webster,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, FL,Florida State University,Florida State University (FSU) Quantum Communication Testbed,"$2,100,000 ",Webster,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, FL,National Center for Simulation,Modeling & Simulation Small Business Accelerator,"$2,100,000 ",Webster,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, CA,"City of Hope Medical Foundation, Antelope Valley",City of Hope TrueBeam,"$1,031,000 ",Whitesides,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, GA,Georgia Institute of Technology,Georgia Battery Manufacturing Facility Battery Testing Equipment,"$1,031,000 ",Williams (GA),
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services,FL,Florida International University,"Everglades Task Force Research, Development, Remote Sensing/Geographic Information System Support","$1,031,000 ",Wilson (FL),
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, VA,Virginia Institute of Marine Science,Center of Excellence in Environmental Forecasting,"$1,600,000 ",Wittman,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, RI,401 Tech Bridge,RI SmartBay Persistent Undersea Monitoring Platform,"$1,031,000 ",Amo,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, RI,City of East Providence,Providence River Debris Removal,"$1,031,000 ",Amo,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, VA,"City of Alexandria, VA",Energy Self-Sufficient Emergency Shelter System,"$1,031,000 ",Beyer,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, GA,The Georgia Conservancy,Automatic Identification System Messaging for the Protection of Mariners,"$500,000 ",Carter (GA),
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, LA,"Louisiana Chamber of Commerce Foundation, Inc.",Louisiana Chamber of Commerce Foundation’s Coastal and Fisheries Restoration Research and Equipment Initiative,"$1,031,000 ",Carter (LA),
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, HI,"Hawaii Department of Land and Natural Resources, Division of Aquatic Resources",Maunalua Fishpond Watershed Restoration and Fishpond Access Program,"$1,031,000 ",Case,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, HI,"Hawaii Department of Land and Natural Resources, Division of Aquatic Resources",Preventing the Spread of Invasive Octocorals to Hawaii State Waters,"$1,000,000 ",Case,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, HI,Hawaii Pacific University,Aquaculture Workforce Development,"$1,031,000 ",Case,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, HI,University of Hawaii,Fireshed Partnerships to Facilitate Wildfire Risk Reduction,"$1,031,000 ",Case,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, CT,Interdistrict Committee for Project Oceanology,Project Oceanology Research Vessel Acquisition,"$960,000 ",Courtney,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management,CA,Marine Mammal Center,Ocean Ambassadors Project,"$273,000 ",DeSaulnier,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management,OR,Multnomah County,Follow the Water Protecting Healthy Watersheds,"$360,000 ",Dexter,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, FL,Florida Gulf Coast University,"Southwest Florida Hurricane and Red Tide Instrumentation Network for Improved Detection, Forecast, and Public Awareness","$1,064,500 ",Donalds,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, MD,Maryland Department of Natural Resources,Invasive Species (Blue Catfish) Mitigation,"$1,031,000 ",Elfreth,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, MS,University of Southern Mississippi,Geospatial Science for Disaster and Emergency Management (GeoDEM),"$712,500 ",Ezell,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, ME,University of Maine Darling Marine Center,University of Maine’s Lobster Settlement Index Collector Survey,"$997,000 ",Golden,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, NY,Billion Oyster Project,Billion Oyster Project 5 Acre Oyster Reef Project,"$825,000 ",Goldman,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, FL,Hubbs-SeaWorld Research Institute,Restorative Aquaculture Capacity Enhancements,"$965,000 ",Haridopolos,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, FL,East Coast Zoological Society,Sea Turtle Care and Research Complex,"$1,750,000 ",Haridopolos,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, LA,Louisiana Coastal Protection and Restoration Authority,"Southwest Louisiana Living Shoreline, Habitat Restoration, and Public Access Initiative","$1,912,500 ",Higgins,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, CT,Chatham Rock Island Incorporated,Stamford Harbor Lighthouse Project,"$500,000 ",Himes,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management,CA,"Northern California Indian Development Council, Inc",Offshore Wind Tribal Engagement,"$1,031,000 ",Huffman,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, WA,Port of Seattle,Seattle Waterfront Sea Level Rise Vulnerability Assessment,"$1,000,000 ",Jayapal,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, WA,Washington State Department of Ecology,"Evaluating shoreline restoration effectiveness, Vashon and Maury Island","$281,000 ",Jayapal,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, OH,City of Mentor,Mentor Shoreline Stabilization,"$1,750,000 ",Joyce (OH),
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, CA,"City of Del Mar, CA",San Dieguito Lagoon Shoreline Protection Project,"$1,031,000 ",Levin,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, CA,San Diego Association of Governments,"Buena Vista Lagoon Enhancement Project, Oceanside, CA","$1,031,000 ",Levin,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, FL,Eckerd College,Protecting and Preserving Coastal Resources of Tampa Bay and the West Florida Shelf: Monitoring Initiatives of the Eckerd College Marine Science Program,"$953,390 ",Luna,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, FL,University of South Florida,"Oceanographic Instrumentation to Enable Improved Forecasting of Hurricanes, Storm Surge, Harmful Algal Blooms, and Other Natural Hazards","$1,500,000 ",Luna,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, DE,University of Delaware,"Mid-Life Upgrades, Maintenance, and Experiential Education Opportunities for Delaware’s Flagship Research Vessel, R/V Hugh R Sharp","$1,031,000 ",McBride,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, NY,Guardians of Flushing Bay,"Fostering Coastal Resilience in Flushing Waterways, Queens, NY","$1,031,000 ",Meng,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, MD,City of Baltimore,Baltimore City Storm Sewer H & H Model for Flood Hazard Mitigation,"$1,031,000 ",Mfume,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, MD,"University of Maryland, Baltimore County",UMBC Laboratory for Flood Risk Impact Assessment and Adaptation in Impoverished Maryland Communities,"$1,031,000 ",Mfume,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, CA,"University of California, Irvine",Orange County Flood Futures Project,"$1,031,000 ",Min,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, FL,Florida International University,Wind Engineering Research Test-Bed and Technology and Innovation for American Leadership,"$1,031,000 ",Moskowitz,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, NY,Hudson River Park Trust,"Habitat Restoration, Research and Community Science Initiative","$1,031,000 ",Nadler,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, NY,Research Foundation of the City University of New York,Foundational Data and Applications for Coastal/Flood Resilience,"$1,031,000 ",Nadler,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, TX,Texas A&M AgriLife Extension Service,Texas A&M AgriLife Extension Oyster Research,"$1,250,000 ",Nehls,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, NY,Bronx River Alliance Inc.,Soundview Coastal Resiliency and Community Development,"$750,000 ",Ocasio-Cortez,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, NY,"City Island Oyster Reef, Inc.",City Island Oyster Reef,"$403,000 ",Ocasio-Cortez,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, NY,New York City Department of Parks and Recreation,Marine Debris Removal in The Bronx and College Point,"$1,031,000 ",Ocasio-Cortez,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, NY,New York City Department of Sanitation,Bronx Wetland Mitigation,"$1,031,000 ",Ocasio-Cortez,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, NY,New York City Department of Small Business Services,East 132nd Street Pier Project,"$1,031,000 ",Ocasio-Cortez,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, CA,Point Blue Conservation Science,Upgrading Farallon Island’s Aging Water System,"$1,031,000 ",Pelosi,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, WA,Washington Department of Fish and Wildlife,Columbia River Sea Lion Management,"$1,031,000 ",Gluesenkamp Perez,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, CA,Regents of the University of California Scripps Institution of Oceanography,Coastal Ocean Pathogen Pollution Forecast Model,"$1,031,000 ",Peters,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, MA,City of Boston,Flood Mitigation in Affordable Housing in Boston,"$1,031,000 ",Pressley,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, MA,"Eastie Farm, Inc",Climate Corps Fellowship,"$1,031,000 ",Pressley,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, NC,University of North Carolina Wilmington,Mid-Atlantic Flood Mitigation and Coast Resilience Program,"$1,250,000 ",Rouzer,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, FL,City of Atlantic Beach,City of Atlantic Beach Dune Walkover Rehabilitation Project,"$1,080,000 ",Rutherford,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, FL,City of Neptune Beach,City of Neptune Beach Dune Walkover Rehabilitation Project,"$1,600,000 ",Rutherford,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, FL,Village of Key Biscayne,"Offshore Barrier Reef for Shoreline Stabilization Study, Village of Key Biscayne Beach","$412,500 ",Salazar,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management,CA,Mountains Recreation and Conservation Authority (MRCA),Santa Monica Mountains Restoration Project,"$1,031,000 ",Sherman,
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, NY,Billion Oyster Project,Hudson Oyster Reef,"$833,000 ",Torres (NY),
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, NY,New York Botanical Garden,Nature Your City: NYBG Climate Research and Public Education,"$750,000 ",Torres (NY),
Department of Commerce,National Oceanic and Atmospheric Administration Coastal Zone Management, TX,Texas A&M AgriLife Research,Texas A&M AgriLife Texas Gulf Coast Oyster Research,"$1,250,000 ",Weber,
