Name,type,State,District,Party,Approps
Garcia,House,TX,29,Democrat,
Garcia,House,CA,42,Democrat,
Gill,House,TX,26,Republican,
Gillen,House,NY,4,Democrat,
Gillibrand,Senate,NY,,Democrat,Yes
Gimenez,House,FL,28,Republican,
Gluesenkamp Perez,House,WA,3,Democrat,Yes
Golden,House,ME,2,Democrat,
Goldman,House,NY,10,Democrat,
Goldman,House,TX,12,Republican,
Gomez,House,CA,34,Democrat,
Gonzales,House,TX,23,Republican,Yes
Gonzalez,House,TX,34,Democrat,
Gooden,House,TX,5,Republican,
Goodlander,House,NH,2,Democrat,
Gosar,House,AZ,9,Republican,
Gottheimer,House,NJ,5,Democrat,
Graham,Senate,SC,,Republican,Yes
Grassley,Senate,IA,,Republican,
Graves,House,MO,6,Republican,
Gray,House,CA,13,Democrat,
Green,House,TX,9,Democrat,
Greene,House,GA,14,Republican,
Griffith,House,VA,9,Republican,
Grijalva,House,AZ,7,Democrat,
Grothman,House,WI,6,Republican,
Guest,House,MS,3,Republican,Yes
Guthrie,House,KY,2,Republican,
Hageman,House,WY,0,Republican,
Hagerty,Senate,TN,,Republican,Yes
Hamadeh,House,AZ,8,Republican,
Harder,House,CA,9,Democrat,Yes
Haridopolos,House,FL,8,Republican,
Harrigan,House,NC,10,Republican,
Harris,House,MD,1,Republican,Yes
Harris,House,NC,8,Republican,
Harshbarger,House,TN,1,Republican,
Hassan,Senate,NH,,Democrat,
Hawley,Senate,MO,,Republican,
Hayes,House,CT,5,Democrat,
Heinrich,Senate,NM,,Democrat,Yes
Hern,House,OK,1,Republican,
Hernandez,House,PR,0,Democrat,
Hickenlooper,Senate,CO,,Democrat,
Higgins,House,LA,3,Republican,
Hill,House,AR,2,Republican,
Himes,House,CT,4,Democrat,
Hinson,House,IA,2,Republican,Yes
Hirono,Senate,HI,,Democrat,
Hoeven,Senate,ND,,Republican,Yes
Horsford,House,NV,4,Democrat,
Houchin,House,IN,9,Republican,
Houlahan,House,PA,6,Democrat,
Hoyer,House,MD,5,Democrat,Yes
Hoyle,House,OR,4,Democrat,
Hudson,House,NC,9,Republican,
Huffman,House,CA,2,Democrat,
Huizenga,House,MI,4,Republican,
Hunt,House,TX,38,Republican,
Hurd,House,CO,3,Republican,
Husted,Senate,OH,,Republican,
Hyde-Smith,Senate,MS,,Republican,Yes
Issa,House,CA,48,Republican,
Ivey,House,MD,4,Democrat,Yes
Jack,House,GA,3,Republican,
Jackson,House,TX,13,Republican,
Jackson,House,IL,1,Democrat,
Jacobs,House,CA,51,Democrat,
James,House,MI,10,Republican,
Jayapal,House,WA,7,Democrat,
Jeffries,House,NY,8,Democrat,
Johnson,House,GA,4,Democrat,
Johnson,Senate,WI,,Republican,
Johnson,House,LA,4,Republican,
Johnson,House,SD,0,Republican,
Johnson,House,TX,32,Democrat,
Jordan,House,OH,4,Republican,
Joyce,House,OH,14,Republican,
Joyce,House,PA,13,Republican,
Justice,Senate,WV,,Republican,
Kaine,Senate,VA,,Democrat,
Kamlager-Dove,House,CA,37,Democrat,
Kaptur,House,OH,9,Democrat,Yes
Kean,House,NJ,7,Republican,
Keating,House,MA,9,Democrat,
Kelly,House,PA,16,Republican,
Kelly,House,IL,2,Democrat,
Kelly,House,MS,1,Republican,
Kelly,Senate,AZ,,Democrat,
Kennedy,Senate,LA,,Republican,Yes
Kennedy,House,NY,26,Democrat,
Kennedy,House,UT,3,Republican,
Khanna,House,CA,17,Democrat,
Kiggans,House,VA,2,Republican,
Kiley,House,CA,3,Republican,
Kim,Senate,NJ,,Democrat,
Kim,House,CA,40,Republican,
King,Senate,ME,,Democrat,
King-Hinds,House,MP,0,Republican,
Klobuchar,Senate,MN,,Democrat,
Knott,House,NC,13,Republican,
Krishnamoorthi,House,IL,8,Democrat,
Kustoff,House,TN,8,Republican,
LaHood,House,IL,16,Republican,
LaLota,House,NY,1,Republican,Yes
LaMalfa,House,CA,1,Republican,
Landsman,House,OH,1,Democrat,
Langworthy,House,NY,23,Republican,
Lankford,Senate,OK,,Republican,
Larsen,House,WA,2,Democrat,
Larson,House,CT,1,Democrat,
Latimer,House,NY,16,Democrat,
Latta,House,OH,5,Republican,
Lawler,House,NY,17,Republican,
Lee,Senate,UT,,Republican,
Lee,House,NV,3,Democrat,Yes
Lee,House,FL,15,Republican,
Lee,House,PA,12,Democrat,
Leger Fernandez,House,NM,3,Democrat,
Letlow,House,LA,5,Republican,Yes
Levin,House,CA,49,Democrat,Yes
Liccardo,House,CA,16,Democrat,
Lieu,House,CA,36,Democrat,
Lofgren,House,CA,18,Democrat,
Loudermilk,House,GA,11,Republican,
Lucas,House,OK,3,Republican,
Lujan,Senate,NM,,Democrat,
Lummis,Senate,WY,,Republican,
Luna,House,FL,13,Republican,
Luttrell,House,TX,8,Republican,
Lynch,House,MA,8,Democrat,
Mace,House,SC,1,Republican,
Mackenzie,House,PA,7,Republican,
Magaziner,House,RI,2,Democrat,
Malliotakis,House,NY,11,Republican,
Maloy,House,UT,2,Republican,Yes
Mann,House,KS,1,Republican,
Mannion,House,NY,22,Democrat,
Markey,Senate,MA,,Democrat,
Marshall,Senate,KS,,Republican,
Massie,House,KY,4,Republican,
Mast,House,FL,21,Republican,
Matsui,House,CA,7,Democrat,
McBath,House,GA,6,Democrat,
McBride,House,DE,0,Democrat,
McCaul,House,TX,10,Republican,
McClain,House,MI,9,Republican,
McClain Delaney,House,MD,6,Democrat,
McClellan,House,VA,4,Democrat,
McClintock,House,CA,5,Republican,
McCollum,House,MN,4,Democrat,Yes
McConnell,Senate,KY,,Republican,Yes
McCormick,House,GA,7,Republican,
McCormick,Senate,PA,,Republican,
McDonald Rivet,House,MI,8,Democrat,
McDowell,House,NC,6,Republican,
McGarvey,House,KY,3,Democrat,
McGovern,House,MA,2,Democrat,
McGuire,House,VA,5,Republican,
McIver,House,NJ,10,Democrat,
Meeks,House,NY,5,Democrat,
Menendez,House,NJ,8,Democrat,
Meng,House,NY,6,Democrat,Yes
Merkley,Senate,OR,,Democrat,Yes
Messmer,House,IN,8,Republican,
Meuser,House,PA,9,Republican,
Mfume,House,MD,7,Democrat,
Miller,House,WV,1,Republican,
Miller,House,IL,15,Republican,
Miller,House,OH,7,Republican,
Miller-Meeks,House,IA,1,Republican,
Mills,House,FL,7,Republican,
Min,House,CA,47,Democrat,
Moody,Senate,FL,,Republican,
Moolenaar,House,MI,2,Republican,Yes
Moore,House,WI,4,Democrat,
Moore,House,AL,1,Republican,
Moore,House,UT,1,Republican,
Moore,House,NC,14,Republican,
Moore,House,WV,2,Republican,Yes
Moran,Senate,KS,,Republican,Yes
Moran,House,TX,1,Republican,
Morelle,House,NY,25,Democrat,Yes
Moreno,Senate,OH,,Republican,
Morrison,House,MN,3,Democrat,
Moskowitz,House,FL,23,Democrat,
Moulton,House,MA,6,Democrat,
Moylan,House,GU,0,Republican,
Mrvan,House,IN,1,Democrat,Yes
Mullin,Senate,OK,,Republican,Yes
Mullin,House,CA,15,Democrat,
Murkowski,Senate,AK,,Republican,Yes
Murphy,Senate,CT,,Democrat,yes
Murphy,House,NC,3,Republican,
Murray,Senate,WA,,Democrat,Yes
Nadler,House,NY,12,Democrat,
Neal,House,MA,1,Democrat,
Neguse,House,CO,2,Democrat,
Nehls,House,TX,22,Republican,
Newhouse,House,WA,4,Republican,Yes
Norcross,House,NJ,1,Democrat,
Norman,House,SC,5,Republican,
Norton,House,DC,0,Democrat,
Nunn,House,IA,3,Republican,
Obernolte,House,CA,23,Republican,
Ocasio-Cortez,House,NY,14,Democrat,
Ogles,House,TN,5,Republican,
Olszewski,House,MD,2,Democrat,
Omar,House,MN,5,Democrat,
Onder,House,MO,3,Republican,
Ossoff,Senate,GA,,Democrat,Yes
Owens,House,UT,4,Republican,
Padilla,Senate,CA,,Democrat,
Pallone,House,NJ,6,Democrat,
Palmer,House,AL,6,Republican,
Panetta,House,CA,19,Democrat,
Pappas,House,NH,1,Democrat,
Patronis,House,FL,1,Republican,
Paul,Senate,KY,,Republican,
Pelosi,House,CA,11,Democrat,
Perry,House,PA,10,Republican,
Peters,Senate,MI,,Democrat,Yes
Peters,House,CA,50,Democrat,
Pettersen,House,CO,7,Democrat,
Pfluger,House,TX,11,Republican,
Pingree,House,ME,1,Democrat,Yes
Plaskett,House,VI,0,Democrat,
Pocan,House,WI,2,Democrat,Yes
Pou,House,NJ,9,Democrat,
Pressley,House,MA,7,Democrat,
Quigley,House,IL,5,Democrat,Yes
Radewagen,House,AS,0,Republican,
Ramirez,House,IL,3,Democrat,
Randall,House,WA,6,Democrat,
Raskin,House,MD,8,Democrat,
Reed,Senate,RI,,Democrat,Yes
Reschenthaler,House,PA,14,Republican,Yes
Ricketts,Senate,NE,,Republican,
Riley,House,NY,19,Democrat,
Risch,Senate,ID,,Republican,
Rivas,House,CA,29,Democrat,
Rogers,House,KY,5,Republican,Yes
Rogers,House,AL,3,Republican,
Rose,House,TN,6,Republican,
Rosen,Senate,NV,,Democrat,
Ross,House,NC,2,Democrat,
Rounds,Senate,SD,,Republican,Yes
Rouzer,House,NC,7,Republican,
Roy,House,TX,21,Republican,
Ruiz,House,CA,25,Democrat,
Rulli,House,OH,6,Republican,
Rutherford,House,FL,5,Republican,Yes
Ryan,House,NY,18,Democrat,
Sanchez,House,CA,38,Democrat,
Salazar,House,FL,27,Republican,
Salinas,House,OR,6,Democrat,
Sanders,Senate,VT,,Democrat,
Scalise,House,LA,1,Republican,
Scanlon,House,PA,5,Democrat,
Schakowsky,House,IL,9,Democrat,
Schatz,Senate,HI,,Democrat,Yes
Schiff,Senate,CA,,Democrat,
Schmidt,House,KS,2,Republican,
Schmitt,Senate,MO,,Republican,
Schneider,House,IL,10,Democrat,
Scholten,House,MI,3,Democrat,
Schrier,House,WA,8,Democrat,
Schumer,Senate,NY,,Democrat,
Schweikert,House,AZ,1,Republican,
Scott,House,GA,8,Republican,
Scott,House,GA,13,Democrat,
Scott,House,VA,3,Democrat,
Scott,Senate,SC,,Republican,
Scott,Senate,FL,,Republican,
Self,House,TX,3,Republican,
Sessions,House,TX,17,Republican,
Sewell,House,AL,7,Democrat,
Shaheen,Senate,NH,,Democrat,Yes
Sheehy,Senate,MT,,Republican,
Sherman,House,CA,32,Democrat,
Sherrill,House,NJ,11,Democrat,
Shreve,House,IN,6,Republican,
Simon,House,CA,12,Democrat,
Simpson,House,ID,2,Republican,Yes
Slotkin,Senate,MI,,Democrat,
Smith,House,WA,9,Democrat,
Smith,House,NE,3,Republican,
Smith,House,NJ,4,Republican,
Smith,House,MO,8,Republican,
Smith,Senate,MN,,Democrat,
Smucker,House,PA,11,Republican,
Sorensen,House,IL,17,Democrat,
Soto,House,FL,9,Democrat,
Spartz,House,IN,5,Republican,
Stansbury,House,NM,1,Democrat,
Stanton,House,AZ,4,Democrat,
Stauber,House,MN,8,Republican,
Stefanik,House,NY,21,Republican,
Steil,House,WI,1,Republican,
Steube,House,FL,17,Republican,
Stevens,House,MI,11,Democrat,
Strickland,House,WA,10,Democrat,
Strong,House,AL,5,Republican,Yes
Stutzman,House,IN,3,Republican,
Subramanyam,House,VA,10,Democrat,
Sullivan,Senate,AK,,Republican,
Suozzi,House,NY,3,Democrat,
Swalwell,House,CA,14,Democrat,
Sykes,House,OH,13,Democrat,
Takano,House,CA,39,Democrat,
Taylor,House,OH,2,Republican,
Tenney,House,NY,24,Republican,
Thanedar,House,MI,13,Democrat,
Thompson,House,MS,2,Democrat,
Thompson,House,CA,4,Democrat,
Thompson,House,PA,15,Republican,
Thune,Senate,SD,,Republican,
Tiffany,House,WI,7,Republican,
Tillis,Senate,NC,,Republican,
Timmons,House,SC,4,Republican,
Titus,House,NV,1,Democrat,
Tlaib,House,MI,12,Democrat,
Tokuda,House,HI,2,Democrat,
Tonko,House,NY,20,Democrat,
Torres,House,CA,35,Democrat,Yes
Torres,House,NY,15,Democrat,
Trahan,House,MA,3,Democrat,
Tran,House,CA,45,Democrat,
Tuberville,Senate,AL,,Republican,
Turner,House,OH,10,Republican,
Underwood,House,IL,14,Democrat,Yes
Valadao,House,CA,22,Republican,Yes
Van Drew,House,NJ,2,Republican,
Van Duyne,House,TX,24,Republican,
Van Epps,House,TN,7,Republican,
Van Hollen,Senate,MD,,Democrat,Yes
Van Orden,House,WI,3,Republican,
Vargas,House,CA,52,Democrat,
Vasquez,House,NM,2,Democrat,
Veasey,House,TX,33,Democrat,
Velazquez,House,NY,7,Democrat,
Vindman,House,VA,7,Democrat,
Wagner,House,MO,2,Republican,
Walberg,House,MI,5,Republican,
Walkinshaw,House,VA,11,Democrat,
Warner,Senate,VA,,Democrat,
Warnock,Senate,GA,,Democrat,
Warren,Senate,MA,,Democrat,
Wasserman Schultz,House,FL,25,Democrat,Yes
Waters,House,CA,43,Democrat,
Watson Coleman,House,NJ,12,Democrat,Yes
Weber,House,TX,14,Republican,
Webster,House,FL,11,Republican,
Welch,Senate,VT,,Democrat,
Westerman,House,AR,4,Republican,
Whitehouse,Senate,RI,,Democrat,
Whitesides,House,CA,27,Democrat,
Wicker,Senate,MS,,Republican,
Wied,House,WI,8,Republican,
Williams,House,TX,25,Republican,
Williams,House,GA,5,Democrat,
Wilson,House,SC,2,Republican,
Wilson,House,FL,24,Democrat,
Wittman,House,VA,1,Republican,
Womack,House,AR,3,Republican,Yes
Wyden,Senate,OR,,Democrat,
Yakym,House,IN,2,Republican,
Young,Senate,IN,,Republican,
Zinke,House,MT,1,Republican,Yes
