Agency,Account,Project Name,State, Recipient,Amount,Requested by,Requested by 2,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations/Remaining Items,River Basin Commissions (MidAtlantic River Basin Commissions: Delaware River Basin Commission),DE, U.S. Army Corps of Engineers,"$715,000.00 ",Blunt Rochester, Fetterman,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Muscogee,GA, U.S. Army Corps of Engineers,"$3,120,000.00 ",Ossoff,,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Cook County and Lake County,IL, U.S. Army Corps of Engineers,"$2,223,000.00 ",Durbin,,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Madison & St. Clair Counties,IL, U.S. Army Corps of Engineers,"$7,297,000.00 ",Duckworth, Durbin,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Upper Mississippi River—Illinois WW System,IL, U.S. Army Corps of Engineers,"$18,000,000.00 ",Durbin,,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations,East St. Louis & Vicinity,IL, U.S. Army Corps of Engineers,"$500,000.00 ",Durbin,,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations,Great Lakes Coastal Resiliency Study,IL, U.S. Army Corps of Engineers,"$3,000,000.00 ", Durbin,,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Pointe Celeste,LA, U.S. Army Corps of Engineers,"$3,200,000.00 ",Cassidy, Kennedy,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Southeast Louisana,LA, U.S. Army Corps of Engineers,"$500,000.00 ",Cassidy, Kennedy,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Southwest Coastal Louisana Hurricane Protection,LA, U.S. Army Corps of Engineers,"$20,000,000.00 ",Cassidy, Kennedy,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations,Lake Pontchartrain and Vicinity,LA, U.S. Army Corps of Engineers,"$500,000.00 ",Kennedy,,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations,Mississippi River,LA, U.S. Army Corps of Engineers,"$7,000,000.00 ",Cassidy, Kennedy,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,West Bank and Vicinity,LA, U.S. Army Corps of Engineers,"$43,600,000.00 ",Cassidy, Kennedy,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Atlantic Coast of Maryland,MD, U.S. Army Corps of Engineers,"$20,000,000.00 ",Van Hollen,,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Maryland,MD, U.S. Army Corps of Engineers,"$2,625,000.00 ",Alsobrooks, Van Hollen,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Chesapeake Bay Environmental Restoration & Protection Program,PA, U.S. Army Corps of Engineers,"$500,000.00 ",Fetterman, McCormick,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Chesapeake Bay Environmental Restoration & Protection Program,PA, U.S. Army Corps of Engineers,"$500,000.00 ",Fetterman, McCormick,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations/Remaining Items,River Basin Commissions (MidAtlantic River Basin Commissions: Interstate Commission On The Potomac River Basin),MD, U.S. Army Corps of Engineers,"$650,000.00 ",Alsobrooks, Van Hollen,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Michigan,MI, U.S. Army Corps of Engineers,"$9,000,000.00 ",Peters, Slotkin,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Desoto County Wastewater Treatment,MS, U.S. Army Corps of Engineers,"$15,000,000.00 ",HydeSmith, Wicker,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Meridian,MS, U.S. Army Corps of Engineers,"$10,000,000.00 ",Wicker,,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Rankin County,MS, U.S. Army Corps of Engineers,"$3,800,000.00 ",HydeSmith, Wicker,,,,,,,,,,,,,
Army Corps of Engineers ,Mississippi River and Tributaries/Construction,Yazoo Basin,MS, U.S. Army Corps of Engineers,"$5,000,000.00 ",HydeSmith,,,,,,,,,,,,,,
Army Corps of Engineers ,Mississippi River and Tributaries/Construction,Yazoo Basin,MS, U.S. Army Corps of Engineers,"$49,000,000.00 ",HydeSmith, Wicker,,,,,,,,,,,,,
Army Corps of Engineers ,Mississippi River and Tributaries/Operation and Maintenance,Mississippi River Levees,MS, U.S. Army Corps of Engineers,"$2,200,000.00 ",Wicker,,,,,,,,,,,,,,
Army Corps of Engineers ,Mississippi River and Tributaries/Operation and Maintenance,Yazoo Basin,MS, U.S. Army Corps of Engineers,"$15,961,000.00 ",HydeSmith,,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Camden,NJ, U.S. Army Corps of Engineers,"$1,000,000.00 ",Booker,,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Cape May County,NJ, U.S. Army Corps of Engineers,"$500,000.00 ",Booker,,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations,New York and New Jersey Harbor,NJ, U.S. Army Corps of Engineers,"$500,000.00 ",Booker, Schumer,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Rio Grande Bosque,NM, U.S. Army Corps of Engineers,"$500,000.00 ",Heinrich,,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Laughlin,NV, U.S. Army Corps of Engineers,"$908,000.00 ",Cortez Masto, Rosen,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Genesee,NY, U.S. Army Corps of Engineers,"$10,000,000.00 ",Gillibrand, Schumer,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Hudson Raritan Estuary,NY, U.S. Army Corps of Engineers,"$14,000,000.00 ",Schumer,,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Brunswick,OH, U.S. Army Corps of Engineers,"$1,990,000.00 ",Moreno,,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Midwest City,OK, U.S. Army Corps of Engineers,"$10,000,000.00 ",Mullin,,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Portland Metro Levee System,OR, U.S. Army Corps of Engineers,"$450,000.00 ",Merkley, Wyden,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Applegate Lake,OR, U.S. Army Corps of Engineers,"$1,078,000.00 ",Merkley, Wyden,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Lost Creek Lake,OR, U.S. Army Corps of Engineers,"$8,382,000.00 ",Merkley, Wyden,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,South Central Pennsylvania,PA, U.S. Army Corps of Engineers,"$12,000,000.00 ",McCormick,,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Fox Point Barrier,RI, U.S. Army Corps of Engineers,"$5,650,000.00 ",Reed, Whitehouse,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Mount Pleasant,SC, U.S. Army Corps of Engineers,"$4,688,000.00 ",Graham,,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,North Myrtle Beach and Vicinity,SC, U.S. Army Corps of Engineers,"$28,000,000.00 ",Graham,,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations,Norfolk Harbor and Channels,VA, U.S. Army Corps of Engineers,"$4,000,000.00 ",Kaine, Warner,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Winter Harbor,VA, U.S. Army Corps of Engineers,"$2,000,000.00 ",Kaine, Warner,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,The Dalles Lock and Dam,WA, U.S. Army Corps of Engineers,"$500,000.00 ",Cantwell, Merkley,,,,,,,,,,,,,
Army Corps of Engineers ,Construction/Section 1135,Yakima Delta,WA, U.S. Army Corps of Engineers,"$1,520,000.00 ",Murray,,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Northern West Virginia,WV, U.S. Army Corps of Engineers,"$10,000,000.00 ",Capito,,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Northern West Virginia,WV, U.S. Army Corps of Engineers,"$1,000,000.00 ",Capito,,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Northern West Virginia,WV, U.S. Army Corps of Engineers,"$12,000,000.00 ",Justice,,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Northern West Virginia,WV, U.S. Army Corps of Engineers,"$2,550,000.00 ",Justice,,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Southern West Virginia,WV, U.S. Army Corps of Engineers,"$10,000,000.00 ",Capito,,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Southern West Virginia,WV, U.S. Army Corps of Engineers,"$19,950,000.00 ",Capito, Justice,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Southern West Virginia,WV, U.S. Army Corps of Engineers,"$6,600,000.00 ",Capito, Justice,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Southern West Virginia,WV, U.S. Army Corps of Engineers,"$5,725,000.00 ",Capito, Justice,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Southern West Virginia,WV, U.S. Army Corps of Engineers,"$2,000,000.00 ",Capito, Justice,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Southern West Virginia,WV, U.S. Army Corps of Engineers,"$2,288,000.00 ",Capito,,,,,,,,,,,,,,
