Agency,Account,Project Name,State, Recipient,Amount,Requested by,Requested by 2,,,,,,,,,,,,,
Department of Energy,Energy Projects,Kennesaw Advanced Photovoltaic Validation Facility, GA, Kennesaw State University,"$978,000.00 ",Ossoff,,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations,Ala Wai Canal, HI, U.S. Army Corps of Engineers,"$1,000,000.00 ",Schatz,,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations,Honolulu Harbor Modification (Basin and Channel), HI, U.S. Army Corps of Engineers,"$1,500,000.00 ",Hirono, Schatz,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations,PostDisaster Watershed Assessment, HI, U.S. Army Corps of Engineers,"$500,000.00 ",Hirono,,,,,,,,,,,,,,
Department of Energy,Energy Projects,Geothermal Energy Initiative, HI, University of Hawaii,"$1,276,000.00 ",Hirono, Schatz,,,,,,,,,,,,,
Department of Energy,Energy Projects,Hawaii Agrivoltaic Research and Demonstration Project, HI, Hawaii Agriculture Research Center,"$1,348,000.00 ",Hirono,,,,,,,,,,,,,,
Department of Energy,Energy Projects,Hawaii’s Advanced Visualization Energy (HAVEN) Project, HI, Hawaii State Energy Office,"$1,750,000.00 ",Schatz,,,,,,,,,,,,,,
Department of Energy,Energy Projects,University Campus Energy Buildout, HI, University of Hawaii,"$750,000.00 ",Hirono, Schatz,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations,Coffeyville, KS, U.S. Army Corps of Engineers,"$500,000.00 ",Moran,,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations,Shunganunga Creek, KS, U.S. Army Corps of Engineers,"$500,000.00 ",Moran,,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations,Smoky Hill River, KS, U.S. Army Corps of Engineers,"$400,000.00 ",Moran,,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Council Grove Lake, KS, U.S. Army Corps of Engineers,"$13,725,000.00 ",Moran,,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Kanopolis Lake, KS, U.S. Army Corps of Engineers,"$830,000.00 ",Moran,,,,,,,,,,,,,,
