Agency,Account,State,Recipient,Project,Amount,Requested by,Requested by 2
Department of Housing and Urban Development,Economic Development Initiatives,NY,East Harlem El Barrio Community Land Trust.,Building Rehabilitation,"$500,000.00 ",Schumer,
Department of Housing and Urban Development,Economic Development Initiatives,NY,National Comedy Center Operator Inc..,Comedy Center Capital Improvements.,"$500,000.00 ",Schumer,
Department of Housing and Urban Development,Economic Development Initiatives,NY,New Immigrant Community Empowerment.,NICE Station—Community & Training Center.,"$500,000.00 ",Schumer,
Department of Housing and Urban Development,Economic Development Initiatives,NY,"UnionDocs, Inc.",Elevator and HVAC for UnionDocs Headquarters.,"$500,000.00 ",Schumer,
Department of Housing and Urban Development,Economic Development Initiatives,NY,"The Joyce Theater Foundation, Inc. ...",New York Center for Creativity & Dance.,"$650,000.00 ",Schumer,
Department of Housing and Urban Development,Economic Development Initiatives,NY,Ridgewood Nepalese Society Inc.,Community and Cultural Center Renovation and Expansion.,"$900,000.00 ",Schumer,
Department of Housing and Urban Development,Economic Development Initiatives,NY,Brooklyn Institute of Arts and Sciences.,Fire Alarm System,"$1,000,000.00 ",Schumer,
Department of Housing and Urban Development,Economic Development Initiatives,NY,Brooklyn Queens Conservatory of Music.,BKCM Campus Expansion & Renovation.,"$1,000,000.00 ",Schumer,
Department of Housing and Urban Development,Economic Development Initiatives,NY,"Bukharian Heritage Society, Inc.",Bukharian Jewish Museum and Community Facility Expansion.,"$1,000,000.00 ",Schumer,
Department of Housing and Urban Development,Economic Development Initiatives,NY,"Camp HASC, Inc.",Dining Facility Renovation,"$1,000,000.00 ",Schumer,
Department of Housing and Urban Development,Economic Development Initiatives,NY,Center for New Jewish Culture Inc. ..,Community Center Improvements,"$1,000,000.00 ",Schumer,
Department of Housing and Urban Development,Economic Development Initiatives,NY,Fordham University,Fordham Road Community Center ....,"$1,000,000.00 ",Schumer,
Department of Housing and Urban Development,Economic Development Initiatives,NY,"Fund for Public Housing, Inc. dba Public Housing Community Fund.",Active Living at NYCHA: Creating Vibrant Intergenerational Spaces for Health and Wellness.,"$1,000,000.00 ",Schumer,
Department of Housing and Urban Development,Economic Development Initiatives,NY,Greater Allen Development Corporation.,Affordable Mixed-Use Housing,"$1,000,000.00 ",Schumer,
Department of Housing and Urban Development,Economic Development Initiatives,NY,"Metropolitan Opera Association, Inc.",Elevator Modernization for ADA Accessibility.,"$1,000,000.00 ",Schumer,
Department of Housing and Urban Development,Economic Development Initiatives,NY,National Federation of Filipino American Associations.,Community Center Expansion,"$1,000,000.00 ",Schumer,
Department of Housing and Urban Development,Economic Development Initiatives,NY,New York Shakespeare Festival dba The Public Theater.,ADA Improvements,"$1,000,000.00 ",Schumer,
Department of Housing and Urban Development,Economic Development Initiatives,NY,Rochester Broadway Theatre League,West Herr Performing Arts Center ADA Improvements.,"$1,000,000.00 ",Schumer,
Department of Housing and Urban Development,Economic Development Initiatives,NY,The Research Foundation for the State University of New York—,Binghamton University. Koffman Southern Tier Incubator Expansion for Manufacturing.,"$1,000,000.00 ",Schumer,
Department of Housing and Urban Development,Economic Development Initiatives,NY,Town of North Hempstead,Town Dock Revitalization Project,"$1,000,000.00 ",Schumer,
Department of Housing and Urban Development,Economic Development Initiatives,NY,Machne Gila,Dining Hall at Camp Gila,"$1,500,000.00 ",Schumer,
Department of Housing and Urban Development,Economic Development Initiatives,NY,The Metropolitan Museum of Art,83rd Street ADA Accessible Entrance,"$1,500,000.00 ",Schumer,
Department of Housing and Urban Development,Economic Development Initiatives,OH,Franklin Township & Conesville Village Joint Recreation Board.,Muskingum River Access Project,"$247,000.00 ",Husted,
Department of Housing and Urban Development,Economic Development Initiatives,OH,Stark State College,CDL Instruction Center,"$875,000.00 ",Husted,
Department of Housing and Urban Development,Economic Development Initiatives,OH,City of Chillicothe,Mary Lou Patton Park Infrastructure Revitalization.,"$1,500,000.00 ",Husted,
Department of Housing and Urban Development,Economic Development Initiatives,OH,City of Portsmouth,Chillicothe Street Housing Project ....,"$1,500,000.00 ",Husted,
Department of Housing and Urban Development,Economic Development Initiatives,OH,Vinton County Visitors Center,Capital Improvements,"$5,000,000.00 ",Husted,
Department of Housing and Urban Development,Economic Development Initiatives,OH,Columbus State Community College,Ohio Center for Advanced Technology,"$9,500,000.00 ",Husted, Moreno
Department of Housing and Urban Development,Economic Development Initiatives,OH,Downtown Toledo Development Corporation.,ConnecToledo Farmer’s Market Renovation and Relocation.,"$2,000,000.00 ",Moreno,
Department of Housing and Urban Development,Economic Development Initiatives,OK,Inola Public Schools,Inola Early Childhood Development and Preschool Facility.,"$4,000,000.00 ",Mullin,
Department of Housing and Urban Development,Economic Development Initiatives,OR,Linn-Benton Community College,Foundation. Periwinkle Child Development Center,"$105,000.00 ",Merkley, Wyden
Department of Housing and Urban Development,Economic Development Initiatives,OR,City of Sumpter,Sumpter Community Center Safety Improvements.,"$173,000.00 ",Merkley, Wyden
Department of Housing and Urban Development,Economic Development Initiatives,OR,City of Medford,Santos Center Discovery Preschool Expansion.,"$500,000.00 ",Merkley, Wyden
Department of Housing and Urban Development,Economic Development Initiatives,OR,Wallowa Resources,Affordable Workforce Housing in Wallowa County.,"$500,000.00 ",Merkley, Wyden
Department of Housing and Urban Development,Economic Development Initiatives,OR,Farmworker Housing Development Corporation.,Affordable Housing,"$536,000.00 ",Merkley, Wyden
Department of Housing and Urban Development,Economic Development Initiatives,OR,Bridge Meadows,Intergenerational Housing Project,"$750,000.00 ",Merkley, Wyden
Department of Housing and Urban Development,Economic Development Initiatives,OR,"Corvallis Neighborhood Housing Services, Inc. dba DevNW.",Affordable Housing Construction in Linn County.,"$752,000.00 ",Merkley, Wyden
Department of Housing and Urban Development,Economic Development Initiatives,OR,Bend-Redmond Habitat for Humanity,Supporting Affordable Homeownership in Central Oregon.,"$1,000,000.00 ",Merkley, Wyden
Department of Housing and Urban Development,Economic Development Initiatives,OR,City of Portland,Clara Vista Redevelopment,"$1,000,000.00 ",Merkley, Wyden
Department of Housing and Urban Development,Economic Development Initiatives,OR,Habitat for Humanity Portland Metro East dba Habitat for Humanity,Portland Region. Affordable Housing Construction in Multnomah County.,"$1,000,000.00 ",Merkley, Wyden
Department of Housing and Urban Development,Economic Development Initiatives,OR,Northwest Community Housing Foundation.,Zig Zag Workforce Housing,"$1,000,000.00 ",Merkley, Wyden
Department of Housing and Urban Development,Economic Development Initiatives,OR,Yamhill County Affordable Housing,Corporation. McMinnville Housing Rehabilitation,"$1,000,000.00 ",Merkley, Wyden
Department of Housing and Urban Development,Economic Development Initiatives,OR,Oregon Center for Creative Learning,Early Childhood and Interactive Learning Center.,"$1,200,000.00 ",Merkley, Wyden
Department of Housing and Urban Development,Economic Development Initiatives,OR,John Day School District #3,Grant Early Learning Center,"$1,450,000.00 ",Merkley, Wyden
Department of Housing and Urban Development,Economic Development Initiatives,OR,"Albina Vision Trust, Inc.",Affordable Housing Land Acquisition,"$1,500,000.00 ",Merkley, Wyden
Department of Housing and Urban Development,Economic Development Initiatives,OR,Columbia Gorge Education Service District.,The Dalles Early Learning Center,"$1,500,000.00 ",Merkley, Wyden
Department of Housing and Urban Development,Economic Development Initiatives,OR,Network for Oregon Affordable Housing.,Affordable Homeownership Loan Program.,"$1,500,000.00 ",Merkley, Wyden
Department of Housing and Urban Development,Economic Development Initiatives,OR,McKenzie Community Land Trust,Affordable Housing in Blue River,"$1,700,000.00 ",Merkley, Wyden
Department of Housing and Urban Development,Economic Development Initiatives,OR,"Confederated Tribes of Coos, Lower Umpqua, and Siuslaw Indians.",Low-Income Multifamily Housing Project.,"$1,914,000.00 ",Merkley, Wyden
Department of Housing and Urban Development,Economic Development Initiatives,OR,Big River Community Land Trust,Hood River Affordable Housing Project.,"$2,000,000.00 ",Merkley, Wyden
Department of Housing and Urban Development,Economic Development Initiatives,OR,City of Redmond,Cinder Hollow Affordable Housing Project.,"$2,000,000.00 ",Merkley, Wyden
Department of Housing and Urban Development,Economic Development Initiatives,OR,Confederated Tribes of Grand Ronde,Tumwata Village Project,"$2,000,000.00 ",Merkley, Wyden
Department of Housing and Urban Development,Economic Development Initiatives,OR,Corvallis Daytime Drop-in Center,Homeless Services Navigation Center,"$2,000,000.00 ",Merkley, Wyden
Department of Housing and Urban Development,Economic Development Initiatives,OR,Marion Polk Food Share,Food Bank Warehouse and Meals on Wheels Kitchen.,"$2,000,000.00 ",Merkley, Wyden
Department of Housing and Urban Development,Economic Development Initiatives,OR,Umpqua Community College,Affordable Housing for Students,"$2,000,000.00 ",Merkley, Wyden
Department of Housing and Urban Development,Economic Development Initiatives,OR,Community Warehouse,Furniture Bank Expansion,"$2,200,000.00 ",Merkley, Wyden
Department of Housing and Urban Development,Economic Development Initiatives,OR,Everyone Village,Affordable Housing Construction in Lane County.,"$2,465,000.00 ",Merkley, Wyden
Department of Housing and Urban Development,Economic Development Initiatives,OR,The Klamath Tribes,Tribal Housing,"$2,820,000.00 ",Merkley, Wyden
Department of Housing and Urban Development,Economic Development Initiatives,OR,Meals on Wheels People,Eastside Resource Center,"$3,000,000.00 ",Merkley, Wyden
Department of Housing and Urban Development,Economic Development Initiatives,OR,Port of Portand,Mass Timber and Housing Innovation Campus Infrastructure Project.,"$3,200,000.00 ",Merkley, Wyden
Department of Housing and Urban Development,Economic Development Initiatives,PA,City of Warren,Community Park Improvement Project.,"$250,000.00 ",Fetterman,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Garden of Health Inc.,Improvements to Garden of Health’s Hatfield Farm.,"$350,000.00 ",Fetterman,
Department of Housing and Urban Development,Economic Development Initiatives,PA,"Launch of Philadelphia, Inc.",Improvements for Launch Community Education Facility.,"$450,000.00 ",Fetterman,
Department of Housing and Urban Development,Economic Development Initiatives,PA,"ACTION–Housing, Inc.",Affordable Housing Conversion in Downtown Pittsburgh.,"$500,000.00 ",Fetterman,
Department of Housing and Urban Development,Economic Development Initiatives,PA,"Scranton Neighborhood Housing Services Inc., dba NeighborWorks Northeastern Pennsylvania.","Whole Home Repair Initiative for Seniors—Lackawanna, Luzerne, Wayne, Pike, Monroe Counties.","$522,000.00 ",Fetterman,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Dauphin County Redevelopment Authority.,Low-Income Housing Development Initiative.,"$650,000.00 ",Fetterman,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Common Roots,Revitalizing Upper Water Street in Meadville.,"$750,000.00 ",Fetterman,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Lancaster Area Habitat for Humanity,Affordable Housing Construction,"$750,000.00 ",Fetterman,
Department of Housing and Urban Development,Economic Development Initiatives,PA,"Nueva Esperanza, Inc.",Esperanza Stable Affordable Rental Housing Trust Project.,"$750,000.00 ",Fetterman,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Steel Rivers Council of Governments,Blight Remediation in the Mon Valley.,"$750,000.00 ",Fetterman,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Women’s Community Revitalization Project.,Linda Lockman-King Apartments in West Philadelphia.,"$950,000.00 ",Fetterman,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Amani Christian Community Development Corporation.,Blight Remediation and Site Preparation in the Carrick Neighborhood of Pittsburgh.,"$954,000.00 ",Fetterman,
Department of Housing and Urban Development,Economic Development Initiatives,PA,The Young Women’s Christian Association of York.,Enhancing Victims and Survivors Facilities.,"$958,000.00 ",Fetterman,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Broad Street Ministry,Kitchen Renovations,"$970,000.00 ",Fetterman,
Department of Housing and Urban Development,Economic Development Initiatives,PA,"The Caring Cupboard, Inc.",Community Center Construction in Lebanon County.,"$1,000,000.00 ",Fetterman,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Erie County Community Land Bank .. Erie County Cornerstone Community,Land Trust Affordable Housing Program.,"$1,100,000.00 ",Fetterman,
Department of Housing and Urban Development,Economic Development Initiatives,PA,"State College Community Land Trust, Inc..",Expansion of Forever Affordable Homes in State College.,"$1,500,000.00 ",Fetterman,
Department of Housing and Urban Development,Economic Development Initiatives,PA,Habitat for Humanity of Berks County.,Blight Remediation in Reading,"$1,610,000.00 ",Fetterman,
Department of Housing and Urban Development,Economic Development Initiatives,RI,Central Falls Foundation,Food Access,"$150,000.00 ",Reed,
Department of Housing and Urban Development,Economic Development Initiatives,RI,Community Care Alliance,Facilities and Equipment,"$200,000.00 ",Reed,
Department of Housing and Urban Development,Economic Development Initiatives,RI,West Warwick Public Library,West Warwick Public Library Facility,"$300,000.00 ",Reed,
Department of Housing and Urban Development,Economic Development Initiatives,RI,Community Action Partnership of Providence County.,CAPP Housing Improvements,"$441,000.00 ",Reed,
Department of Housing and Urban Development,Economic Development Initiatives,RI,Aldersbridge Communities,Aldersbridge at East Point,"$500,000.00 ",Reed,
Department of Housing and Urban Development,Economic Development Initiatives,RI,West Elmwood Housing Development Corporation.,Affordable Housing,"$500,000.00 ",Reed,
Department of Housing and Urban Development,Economic Development Initiatives,RI,"Meals on Wheels of RI, Inc.",Facility Renovation,"$600,000.00 ",Reed,
Department of Housing and Urban Development,Economic Development Initiatives,RI,YWCA Rhode Island,Veterans Community Center,"$600,000.00 ",Reed,
Department of Housing and Urban Development,Economic Development Initiatives,RI,NeighborWorks Blackstone River Valley.,Affordable Housing,"$975,000.00 ",Reed,
Department of Housing and Urban Development,Economic Development Initiatives,RI,City of Newport,Senior Center Modernization Project,"$1,000,000.00 ",Reed,
Department of Housing and Urban Development,Economic Development Initiatives,RI,Town of South Kingstown,Affordable Housing Initiative,"$5,000,000.00 ",Reed,
Department of Housing and Urban Development,Economic Development Initiatives,RI,Fuerza Laboral,Building Upgrades for Child Care Center and Incubator.,"$500,000.00 ",Reed, Whitehouse
Department of Housing and Urban Development,Economic Development Initiatives,RI,Trinity Repertory Company,Access for All,"$525,000.00 ",Reed, Whitehouse
Department of Housing and Urban Development,Economic Development Initiatives,RI,City of Providence,Federal Hill House Improvements,"$1,000,000.00 ",Reed, Whitehouse
Department of Housing and Urban Development,Economic Development Initiatives,RI,City of Providence,West End Community Center Project,"$1,000,000.00 ",Reed, Whitehouse
Department of Housing and Urban Development,Economic Development Initiatives,RI,City of Central Falls,Jenks Park and Cogswell Tower Restoration.,"$1,000,000.00 ",Reed, Whitehouse
Department of Housing and Urban Development,Economic Development Initiatives,RI,Sojourner House,Woonsocket Office and Drop-In Center Acquistion and Renovation.,"$1,275,000.00 ",Reed, Whitehouse
Department of Housing and Urban Development,Economic Development Initiatives,RI,Crossroads Rhode Island,Crossroads—Warwick Housing,"$2,000,000.00 ",Reed, Whitehouse
Department of Housing and Urban Development,Economic Development Initiatives,RI,Olneyville Housing Corporation dba ONE Neighborhood Builders.,Affordable Housing Development,"$2,000,000.00 ",Reed, Whitehouse
Department of Housing and Urban Development,Economic Development Initiatives,RI,Olneyville Housing Corporation dba,ONE Neighborhood Builders. ONB Cumberland Affordable Housing,"$2,000,000.00 ",Reed, Whitehouse
Department of Housing and Urban Development,Economic Development Initiatives,RI,City of Pawtucket,Veterans Memorial Park Pool Renovations.,"$2,500,000.00 ",Reed, Whitehouse
Department of Housing and Urban Development,Economic Development Initiatives,RI,United Way of Rhode Island,United Way Facility Renovation,"$3,400,000.00 ",Reed, Whitehouse
Department of Housing and Urban Development,Economic Development Initiatives,RI,"Tower Street Center, Inc.",Tower Street Community Center,"$4,475,000.00 ",Reed, Whitehouse
Department of Housing and Urban Development,Economic Development Initiatives,SC,Town of Pageland,Public Safety Facility,"$5,512,000.00 ",Graham,
Department of Housing and Urban Development,Economic Development Initiatives,SC,University of South Carolina,Veterans and Military Center of Excellence.,"$10,000,000.00 ",Graham,
Department of Housing and Urban Development,Economic Development Initiatives,SC,University of South Carolina,Facility Improvements,"$12,611,000.00 ",Graham,
Department of Housing and Urban Development,Economic Development Initiatives,SD,Magdalene Dakota,Women’s Rehabilitation Facility,"$829,000.00 ",Rounds,
Department of Housing and Urban Development,Economic Development Initiatives,SD,Crow Creek Housing Authority,Crow Creek Housing Development ....,"$3,000,000.00 ",Rounds,
Department of Housing and Urban Development,Economic Development Initiatives,SD,Douglas School District #51–1,Douglas Elementary School,"$42,000,000.00 ",Rounds,
Department of Housing and Urban Development,Economic Development Initiatives,UT,Utah Valley University,Utah Lake Research Center Feasibility Project.,"$4,000,000.00 ",Curtis,
Department of Housing and Urban Development,Economic Development Initiatives,VA,Habitat for Humanity Powhatan,Ballsville Road Neighborhood,"$500,000.00 ",Kaine, Warner
Department of Housing and Urban Development,Economic Development Initiatives,VA,Staunton Redevelopment and Housing Authority.,Affordable Housing in Staunton,"$500,000.00 ",Kaine, Warner
Department of Housing and Urban Development,Economic Development Initiatives,VA,SupportWorks Housing,Rady Street Apartments,"$500,000.00 ",Kaine, Warner
Department of Housing and Urban Development,Economic Development Initiatives,VA,"Hampton Roads Ecumenical Lodgings & Provisions, Inc.",Affordable Housing,"$700,000.00 ",Kaine, Warner
Department of Housing and Urban Development,Economic Development Initiatives,VA,City of Norfolk,Affordable Housing Development,"$1,000,000.00 ",Kaine, Warner
Department of Housing and Urban Development,Economic Development Initiatives,VA,City of Chesapeake,Myers Road Sidewalk Extension,"$1,150,000.00 ",Kaine, Warner
Department of Housing and Urban Development,Economic Development Initiatives,VA,Affordable Homes & Communities ....,Affordable Housing and Community Center.,"$1,175,000.00 ",Kaine, Warner
Department of Housing and Urban Development,Economic Development Initiatives,VA,Young Men’s Christian Association of Central Virginia.,Transform the Downtown YMCA,"$1,423,000.00 ",Kaine, Warner
Department of Housing and Urban Development,Economic Development Initiatives,VA,Feed More,Project Nourish,"$1,500,000.00 ",Kaine, Warner
Department of Housing and Urban Development,Economic Development Initiatives,VA,Foodbank of Southeastern Virginia and Eastern Shore.,New Facility,"$1,500,000.00 ",Kaine, Warner
Department of Housing and Urban Development,Economic Development Initiatives,VA,Economic Development Authority of Floyd County.,Utilities to Support Affordable Workforce Housing.,"$1,520,000.00 ",Kaine, Warner
Department of Housing and Urban Development,Economic Development Initiatives,VA,City of Danville,Cunningham and Hughes Neighborhood Development Center.,"$1,742,000.00 ",Kaine, Warner
Department of Housing and Urban Development,Economic Development Initiatives,VA,Action in Community Through Service.,Rebuilding Westend Domestic Violence Shelter.,"$1,780,000.00 ",Kaine, Warner
Department of Housing and Urban Development,Economic Development Initiatives,VA,Alexandria Redevelopment Housing Authority.,Ladrey Apartments,"$2,000,000.00 ",Kaine, Warner
Department of Housing and Urban Development,Economic Development Initiatives,VA,Harrisonburg Redevelopment & Housing Authority.,Lineweaver Annex Renovation of Permanent Supportive Housing Project.,"$2,000,000.00 ",Kaine, Warner
Department of Housing and Urban Development,Economic Development Initiatives,VA,People Incorporated of Virginia,Manassas Veterans Housing and Post Center.,"$2,000,000.00 ",Kaine, Warner
Department of Housing and Urban Development,Economic Development Initiatives,VA,Hopkins House—A Center for Children and their Families.,Samuel Madden Homes Success Center.,"$2,500,000.00 ",Kaine, Warner
Department of Housing and Urban Development,Economic Development Initiatives,VA,James City County,Moses Lane Comprehensive Community Development Project.,"$925,000.00 ",Kaine, Warner
Department of Housing and Urban Development,Economic Development Initiatives,VA,Town of Clifton Forge,Town of Clifton Forge All Abilities Park.,"$2,912,000.00 ",Kaine, Warner
Department of Housing and Urban Development,Economic Development Initiatives,VA,Micah Ecumenical Ministries,Jeremiah Community,"$2,915,000.00 ",Kaine, Warner
Department of Housing and Urban Development,Economic Development Initiatives,VT,Vermont Housing & Conservation Board.,Shared Equity Homeownership Expansion.,"$550,000.00 ",Sanders,
Department of Housing and Urban Development,Economic Development Initiatives,VT,Champlain Housing Trust,Affordable Housing for Winooski,"$1,000,000.00 ",Sanders,
Department of Housing and Urban Development,Economic Development Initiatives,VT,Good Samaritan Haven,Complex Care Shelter at the Welcome Center.,"$1,155,000.00 ",Sanders,
Department of Housing and Urban Development,Economic Development Initiatives,VT,Downstreet Housing & Community Development.,Preserving Affordable Housing and Creating Homeownership Opportunities.,"$1,500,000.00 ",Sanders,
Department of Housing and Urban Development,Economic Development Initiatives,VT,Windham & Windsor Housing Trust ..,The Chalet Redevelopment,"$3,000,000.00 ",Sanders,
Department of Housing and Urban Development,Economic Development Initiatives,VT,City of Barre,The Prospect Heights Development Project.,"$3,316,000.00 ",Sanders,
Department of Housing and Urban Development,Economic Development Initiatives,VT,Vermont Housing & Conservation Board.,Affordable Housing for Vermont,"$12,000,000.00 ",Sanders, Welch
Department of Housing and Urban Development,Economic Development Initiatives,VT,Vermont Office of Economic Opportunity.,Home Repair and Remediation,"$2,000,000.00 ",Welch,
Department of Housing and Urban Development,Economic Development Initiatives,VT,Brattleboro Development Credit Corporation.,Brattleboro Technology and Industrial Park.,"$3,250,000.00 ",Welch,
Department of Housing and Urban Development,Economic Development Initiatives,VT,Ascend Housing Allies Incorporated,Housing at Stonecrop Meadows,"$5,250,000.00 ",Welch,
Department of Housing and Urban Development,Economic Development Initiatives,WA,Community Roots Housing,The Jefferson Affordable Housing Preservation Project.,"$350,000.00 ",Cantwell,
Department of Housing and Urban Development,Economic Development Initiatives,WA,Jefferson County,Workforce Housing,"$1,500,000.00 ",Cantwell,
Department of Housing and Urban Development,Economic Development Initiatives,WA,YWCA Yakima,Domestic Violence Shelter,"$1,500,000.00 ",Cantwell,
Department of Housing and Urban Development,Economic Development Initiatives,WA,Port of Skagit County,Agricultural Innovation Center,"$1,750,000.00 ",Cantwell,
Department of Housing and Urban Development,Economic Development Initiatives,WA,Northeast Public Development Authority.,Childcare and Workforce Housing Project.,"$2,000,000.00 ",Cantwell,
Department of Housing and Urban Development,Economic Development Initiatives,WA,Council for the Homeless,Housing Solutions Center Expansion,"$2,500,000.00 ",Cantwell, Murray
Department of Housing and Urban Development,Economic Development Initiatives,WA,City of Kelso,Catlin and Main Community Development Project.,"$3,250,000.00 ",Cantwell, Murray
Department of Housing and Urban Development,Economic Development Initiatives,WA,Community Roots Housing,The Helen V Affordable Housing Project.,"$512,000.00 ",Murray,
Department of Housing and Urban Development,Economic Development Initiatives,WA,United Way of King County,Food Access and Distribution,"$800,000.00 ",Murray,
Department of Housing and Urban Development,Economic Development Initiatives,WA,City of Seattle,Fort Lawton Redevelopment,"$1,000,000.00 ",Murray,
Department of Housing and Urban Development,Economic Development Initiatives,WA,Seattle Indian Services Commission,Native Village & Gateway Project,"$1,500,000.00 ",Murray,
Department of Housing and Urban Development,Economic Development Initiatives,WA,Bellwether Housing,Thunderbird Nest Affordable Housing Project.,"$1,800,000.00 ",Murray,
Department of Housing and Urban Development,Economic Development Initiatives,WA,Shelton Family Center dba The Youth Connection.,Housing Project,"$2,000,000.00 ",Murray,
Department of Housing and Urban Development,Economic Development Initiatives,WA,Spokane Neighborhood Action Partners.,Broadway Senior Housing,"$2,000,000.00 ",Murray,
Department of Housing and Urban Development,Economic Development Initiatives,WA,Whatcom Transportation Authority ....,Lynden Transit Station Affordable Housing.,"$2,000,000.00 ",Murray,
Department of Housing and Urban Development,Economic Development Initiatives,WA,Friends of Youth,Griffin Campus Affordable Housing ..,"$2,500,000.00 ",Murray,
Department of Housing and Urban Development,Economic Development Initiatives,WA,Low Income Housing Institute,University District Transit Oriented Development.,"$3,000,000.00 ",Murray,
Department of Housing and Urban Development,Economic Development Initiatives,WA,Partners Inland Northwest,Resource Center,"$3,000,000.00 ",Murray,
Department of Housing and Urban Development,Economic Development Initiatives,WA,Children’s Home Society of Washington dba Akin.,Vancouver Family Resource Center Development.,"$3,400,000.00 ",Murray,
Department of Housing and Urban Development,Economic Development Initiatives,WA,OPAL Community Land Trust,Pea Patch Community Campus,"$4,000,000.00 ",Murray,
Department of Housing and Urban Development,Economic Development Initiatives,WA,YMCA of Pierce and Kitsap Counties,Bremerton Early Learning Center,"$6,200,000.00 ",Murray,
Department of Housing and Urban Development,Economic Development Initiatives,WI,Ozaukee Food Alliance,Mobile Pantry,"$246,000.00 ",Baldwin,
Department of Housing and Urban Development,Economic Development Initiatives,WI,"Veterans 1st of NEW, Inc.",Veterans Cottage Court Village,"$480,000.00 ",Baldwin,
Department of Housing and Urban Development,Economic Development Initiatives,WI,Habitat for Humanity of Waukesha and Jefferson Counties.,College Park Workforce Housing Development.,"$500,000.00 ",Baldwin,
Department of Housing and Urban Development,Economic Development Initiatives,WI,"Wild Rivers Habitat for Humanity, Inc..",Affordable Housing Construction,"$500,000.00 ",Baldwin,
Department of Housing and Urban Development,Economic Development Initiatives,WI,"Acts Community Development Corporation, Inc..",Acquisition Fund,"$1,000,000.00 ",Baldwin,
Department of Housing and Urban Development,Economic Development Initiatives,WI,Boys & Girls Club of the Northwoods,Facility Expansion,"$1,000,000.00 ",Baldwin,
Department of Housing and Urban Development,Economic Development Initiatives,WI,Communities of Crocus,Affordable Housing,"$1,500,000.00 ",Baldwin,
Department of Housing and Urban Development,Economic Development Initiatives,WI,City of Kenosha,Affordable Housing Development,"$3,000,000.00 ",Baldwin,
Department of Housing and Urban Development,Economic Development Initiatives,WI,YMCA of Metropolitan Milwaukee,Health Commons,"$4,000,000.00 ",Baldwin,
Department of Housing and Urban Development,Economic Development Initiatives,WI,City of Janesville,Remediation at Former GM Facility ..,"$5,000,000.00 ",Baldwin,
Department of Housing and Urban Development,Economic Development Initiatives,WI,Green Bay Metro Fire Department ....,New Fire Station,"$5,000,000.00 ",Baldwin,
Department of Housing and Urban Development,Economic Development Initiatives,WV,Community Impact Network,Childcare and Economic Opportunities in Ohio County.,"$250,000.00 ",Capito,
Department of Housing and Urban Development,Economic Development Initiatives,WV,City of Logan,White Coat Housing Community in Rural Appalachia.,"$1,200,000.00 ",Capito,
Department of Housing and Urban Development,Economic Development Initiatives,WV,City of Hinton,New River Center Project,"$1,919,000.00 ",Capito,
Department of Housing and Urban Development,Economic Development Initiatives,WV,Wheeling Park Commission,Historic Community Building Renovations.,"$5,642,000.00 ",Capito,
Department of Housing and Urban Development,Economic Development Initiatives,WV,Craik Patton Inc.,Craik-Patton House Site Accessibility Project.,"$250,000.00 ",Capito, Justice
Department of Housing and Urban Development,Economic Development Initiatives,WV,Appalachia Service Project,Home Repair for Flooding Victims ....,"$500,000.00 ",Capito, Justice
Department of Housing and Urban Development,Economic Development Initiatives,WV,City of Elkins,Downtown Improvements,"$503,000.00 ",Capito, Justice
Department of Housing and Urban Development,Economic Development Initiatives,WV,Capitol Market Inc.,Capitol Market Safety and Security ..,"$750,000.00 ",Capito, Justice
Department of Housing and Urban Development,Economic Development Initiatives,WV,Region 4 Planning and Development Council.,Fruits of Labor Expansion,"$966,000.00 ",Capito, Justice
Department of Housing and Urban Development,Economic Development Initiatives,WV,West Virginia Statewide Independent Living Council.,The WV Freedom and Independence Project.,"$1,980,000.00 ",Capito, Justice
Department of Housing and Urban Development,Economic Development Initiatives,WV,Town of Marlinton,Downtown Trailhead,"$2,059,000.00 ",Capito, Justice
Department of Housing and Urban Development,Economic Development Initiatives,WV,Clay County Commission,911 Center Relocation,"$4,600,000.00 ",Capito, Justice
Department of Housing and Urban Development,Economic Development Initiatives,WV,City of Ronceverte,Fred Workman Bridge,"$5,460,000.00 ",Capito, Justice
Department of Housing and Urban Development,Economic Development Initiatives,WV,City of Charleston,Charleston Capital Sports Center,"$7,000,000.00 ",Capito, Justice
Department of Housing and Urban Development,Economic Development Initiatives,WV,"Montgomery General Healthcare Systems, Inc..",Montgomery General Hospital Revitalization.,"$7,690,000.00 ",Capito, Justice
Department of Housing and Urban Development,Economic Development Initiatives,WV,Facing Hunger Food Bank,Warehouse Distribution Center Renovation.,"$1,103,000.00 ",Justice,
Department of Housing and Urban Development,Economic Development Initiatives,WV,New River Gorge Regional Develop-,ment Authority. Meadow River Corridor Improvements,"$3,200,000.00 ",Justice,
